ubigeo,departamento,provincia,distrito,cod_partido,partido,total_votos,nlista,pct_validos,pct_emitidos,candidato,ubigeo_inei,departamento_inei,provincia_inei,region,macroregion_inei,iso_3166_2,fips,altitud,date_upd,hour_upd,pct_avance
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000012,PARTIDO NACIONALISTA PERUANO,182,2,1.662,1.336,OLLANTA MOISES HUMALA TASSO,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",112,3,1.023,0.822,MARCO ANTONIO ARANA ZEGARRA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000011,PARTIDO MORADO,281,4,2.567,2.063,JULIO ARMANDO GUZMAN CACERES,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000017,PERU PATRIA SEGURA,35,5,0.32,0.257,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000022,VICTORIA NACIONAL,630,6,5.754,4.626,GEORGE PATRICK FORSYTH SOMMER,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000001,ACCION POPULAR,1338,7,12.221,9.825,YONHY LESCANO ANCIETA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1132,8,10.34,8.312,HERNANDO DE SOTO POLAR,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000018,PODEMOS PERU,333,9,3.042,2.445,DANIEL BELIZARIO URRESTI ELERA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000008,JUNTOS POR EL PERU,1314,10,12.002,9.648,VERONIKA FANNY MENDOZA FRISCH,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000015,PARTIDO POPULAR CRISTIANO - PPC,125,11,1.142,0.918,ALBERTO ISMAEL BEINGOLEA DELGADO,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000007,FUERZA POPULAR,1222,12,11.162,8.973,KEIKO SOFIA FUJIMORI HIGUCHI,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000021,UNION POR EL PERU,30,14,0.274,0.22,JOSE ALEJANDRO VEGA ANTONIO,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000020,RENOVACION POPULAR,1225,15,11.189,8.995,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000019,RENACIMIENTO UNIDO NACIONAL,36,16,0.329,0.264,CIRO ALFREDO GALVEZ HERRERA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000010,PARTIDO DEMOCRATICO SOMOS PERU,213,17,1.946,1.564,DANIEL ENRIQUE SALAVERRY VILLA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1695,18,15.482,12.446,JOSE PEDRO CASTILLO TERRONES,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000004,DEMOCRACIA DIRECTA,36,19,0.329,0.264,ANDRES AVELINO ALCANTARA PAREDES,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000002,ALIANZA PARA EL PROGRESO,1009,20,9.216,7.409,CESAR ACUÑA PERALTA,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000012,PARTIDO NACIONALISTA PERUANO,15,2,16.667,13.158,OLLANTA MOISES HUMALA TASSO,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,3,0,0,MARCO ANTONIO ARANA ZEGARRA,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000011,PARTIDO MORADO,2,4,2.222,1.754,JULIO ARMANDO GUZMAN CACERES,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000017,PERU PATRIA SEGURA,1,5,1.111,0.877,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000022,VICTORIA NACIONAL,8,6,8.889,7.018,GEORGE PATRICK FORSYTH SOMMER,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000001,ACCION POPULAR,17,7,18.889,14.912,YONHY LESCANO ANCIETA,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,8,1.111,0.877,HERNANDO DE SOTO POLAR,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000018,PODEMOS PERU,2,9,2.222,1.754,DANIEL BELIZARIO URRESTI ELERA,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000008,JUNTOS POR EL PERU,6,10,6.667,5.263,VERONIKA FANNY MENDOZA FRISCH,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000015,PARTIDO POPULAR CRISTIANO - PPC,0,11,0,0,ALBERTO ISMAEL BEINGOLEA DELGADO,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000007,FUERZA POPULAR,6,12,6.667,5.263,KEIKO SOFIA FUJIMORI HIGUCHI,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000021,UNION POR EL PERU,0,14,0,0,JOSE ALEJANDRO VEGA ANTONIO,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000020,RENOVACION POPULAR,6,15,6.667,5.263,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000019,RENACIMIENTO UNIDO NACIONAL,1,16,1.111,0.877,CIRO ALFREDO GALVEZ HERRERA,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000010,PARTIDO DEMOCRATICO SOMOS PERU,3,17,3.333,2.632,DANIEL ENRIQUE SALAVERRY VILLA,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,14,18,15.556,12.281,JOSE PEDRO CASTILLO TERRONES,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000004,DEMOCRACIA DIRECTA,0,19,0,0,ANDRES AVELINO ALCANTARA PAREDES,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
